,loan_amnt,int_rate,annual_inc,dti
61881,4700.0,20.99,22000.0,29.02
65961,10350.0,15.61,32400.0,31.53
49356,20300.0,14.49,137000.0,10.43
99174,11175.0,14.49,43000.0,29.01
7645,18000.0,6.49,160000.0,7.39
81732,2500.0,23.43,27000.0,27.29
19911,16000.0,13.66,47500.0,27.59
11831,2550.0,13.66,28000.0,37.38
68673,10775.0,18.99,48000.0,24.75
458,13000.0,11.44,89000.0,20.43
89249,14125.0,14.49,41600.0,32.75
69620,16000.0,16.99,50000.0,24.34
65553,12000.0,14.99,51500.0,27.31
60766,6000.0,10.15,120000.0,27.99
51218,16800.0,16.99,60000.0,10.54
5597,28000.0,6.49,95000.0,15.72
64781,6500.0,12.99,34000.0,13.7
87557,2000.0,23.43,85000.0,19.57
85542,24000.0,6.03,175000.0,17.65
38744,10000.0,6.49,100000.0,9.37
48493,7000.0,11.67,120000.0,6.52
27644,9600.0,13.66,33000.0,22.33
16644,24000.0,15.99,62000.0,37.11
63763,28000.0,7.12,78000.0,33.65
52928,9600.0,7.69,112000.0,25.28
74145,17100.0,17.57,47700.0,22.02
86352,24000.0,20.2,115000.0,20.89
42316,25000.0,8.39,65000.0,6.06
83185,9875.0,12.99,23580.0,23.41
84017,30000.0,13.35,74000.0,12.24
94329,14350.0,17.57,38000.0,20.31
2252,16000.0,8.67,60000.0,8.12
41978,30000.0,7.69,100000.0,17.39
84999,4800.0,17.57,48000.0,30.06
97492,35000.0,8.39,110000.0,28.18
886,3000.0,8.67,115000.0,10.14
59566,24000.0,11.67,100000.0,20.49
12420,12000.0,6.03,62000.0,26.42
81075,4400.0,11.67,118000.0,33.17
9561,6000.0,17.14,42000.0,24.31
58404,15600.0,7.69,63000.0,8.86
45567,7000.0,6.03,70000.0,4.01
87180,24000.0,16.29,54713.0,17.85
83774,10725.0,24.5,48000.0,38.4
47998,21000.0,20.99,90000.0,7.13
95033,26000.0,12.99,85000.0,18.44
42754,12000.0,10.15,60000.0,14.68
1684,6400.0,13.66,138400.0,15.22
73881,3000.0,13.98,60000.0,15.92
92596,6900.0,20.2,72000.0,31.45
69776,10900.0,18.99,38000.0,28.14
26371,12000.0,8.67,63000.0,22.99
92754,7000.0,14.99,52000.0,11.43
11541,5000.0,13.66,25000.0,25.14
78697,10800.0,11.67,69000.0,24.59
8165,10500.0,8.67,50000.0,12.19
70248,8000.0,13.98,35000.0,23.59
82738,19475.0,17.57,65000.0,25.0
74713,18000.0,7.12,43000.0,13.7
33638,12000.0,8.39,54000.0,17.4
6780,19200.0,15.59,70000.0,14.97
47769,20000.0,6.03,60000.0,11.2
29539,18300.0,15.59,51000.0,21.18
97267,10750.0,12.99,30000.0,21.48
35130,10000.0,8.39,84000.0,4.84
52381,15000.0,8.39,170000.0,14.64
39809,7200.0,10.99,65000.0,5.13
90115,4000.0,10.99,48000.0,4.18
24976,7350.0,17.14,54000.0,29.93
22786,8000.0,11.99,40000.0,24.54
92165,6175.0,15.61,43000.0,7.87
1261,30000.0,8.67,250000.0,12.85
39788,20000.0,10.15,46159.0,32.37
97627,4700.0,11.67,55000.0,22.08
32507,12800.0,16.99,42700.0,28.05
26282,6000.0,6.99,40000.0,15.48
42069,3200.0,8.39,24000.0,7.75
48602,20000.0,13.98,55000.0,21.82
88819,5000.0,15.61,75000.0,3.27
58968,35000.0,11.67,107000.0,17.55
14984,25000.0,14.31,130000.0,2.77
32197,10775.0,18.99,45000.0,27.76
31682,35000.0,18.54,235000.0,13.47
80570,3000.0,12.99,40000.0,11.79
23753,8000.0,14.31,100000.0,25.73
72007,8000.0,12.99,35000.0,14.51
40425,6625.0,15.61,26000.0,21.98
38876,26150.0,14.49,70000.0,25.96
46810,30000.0,17.57,74000.0,16.69
73707,21000.0,19.52,90000.0,17.01
16543,15000.0,13.66,50000.0,34.13
66678,9000.0,11.67,34384.0,17.77
89523,6800.0,15.61,36000.0,39.0
66239,20000.0,13.35,68000.0,10.88
66804,10000.0,12.99,55000.0,5.19
57832,3000.0,12.99,25000.0,25.16
95885,10000.0,12.99,75000.0,10.27
67985,13050.0,13.98,63000.0,7.37
99914,10625.0,18.99,25407.0,29.76
77833,25000.0,23.43,68000.0,0.79
87250,22100.0,24.99,150000.0,9.1
87537,5500.0,12.99,39521.0,18.13
98963,6000.0,12.49,42000.0,16.63
54576,8000.0,13.98,64000.0,11.34
28088,25000.0,12.99,85600.0,33.42
34928,15000.0,13.35,42000.0,34.37
50208,8000.0,10.99,58508.0,21.31
90039,7200.0,7.12,125000.0,18.95
43768,3500.0,9.17,29000.0,14.57
40981,14000.0,10.99,55000.0,21.14
73561,22575.0,23.43,130000.0,30.63
57779,3000.0,13.98,72000.0,10.46
95947,28000.0,15.61,110000.0,14.67
51607,7250.0,23.43,80000.0,9.83
35767,25000.0,7.69,340000.0,11.59
79682,16000.0,6.03,95000.0,18.85
59111,19000.0,11.67,85000.0,11.17
14123,22875.0,19.99,52000.0,20.7
87411,10000.0,16.29,31000.0,11.36
49207,6600.0,10.15,25000.0,20.02
33533,26000.0,20.99,150000.0,17.14
86666,5600.0,11.67,44900.0,26.25
23302,18000.0,10.49,43000.0,26.24
777,20000.0,7.49,91000.0,9.47
88535,12950.0,26.06,80000.0,1.14
20603,12175.0,17.86,36000.0,5.5
67144,30000.0,18.24,165000.0,14.21
72106,8000.0,7.12,96000.0,27.64
13937,5000.0,10.49,85000.0,16.11
45230,24000.0,14.99,98000.0,21.8
75986,3550.0,16.29,10000.0,25.27
12276,6800.0,12.39,22500.0,31.63
41646,10000.0,11.67,34500.0,21.29
10120,4800.0,14.99,42000.0,12.4
2621,19200.0,11.99,150000.0,20.04
55755,20000.0,10.99,80000.0,25.94
